jurisdiction,year,ipcc_code,Product,tax_rate_incl_ex_kusd,ets_price_kusd,jurtype
Denmark,1996,1A1A1,Coal,22.545264801061062,NA,country
Denmark,1996,1A1A1,Natural gas,22.545264801061062,NA,country
Denmark,1996,1A1A1,Oil,22.545264801061062,NA,country
Denmark,1996,1A1A3,Coal,22.545264801061062,NA,country
Denmark,1996,1A1A3,Natural gas,22.545264801061062,NA,country
Denmark,1996,1A1A3,Oil,22.545264801061062,NA,country
Denmark,1996,1A1B,Coal,22.545264801061062,NA,country
Denmark,1996,1A1B,Natural gas,22.545264801061062,NA,country
Denmark,1996,1A1B,Oil,22.545264801061062,NA,country
Denmark,1996,1A1C,Coal,22.545264801061062,NA,country
Denmark,1996,1A1C,Natural gas,22.545264801061062,NA,country
Denmark,1996,1A1C,Oil,22.545264801061062,NA,country
Denmark,1996,1A2A,Coal,11.272632400530531,NA,country
Denmark,1996,1A2A,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2A,Oil,11.272632400530531,NA,country
Denmark,1996,1A2B,Coal,11.272632400530531,NA,country
Denmark,1996,1A2B,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2B,Oil,11.272632400530531,NA,country
Denmark,1996,1A2C,Coal,11.272632400530531,NA,country
Denmark,1996,1A2C,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2C,Oil,11.272632400530531,NA,country
Denmark,1996,1A2D,Coal,11.272632400530531,NA,country
Denmark,1996,1A2D,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2D,Oil,11.272632400530531,NA,country
Denmark,1996,1A2E,Coal,11.272632400530531,NA,country
Denmark,1996,1A2E,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2E,Oil,11.272632400530531,NA,country
Denmark,1996,1A2F,Coal,11.272632400530531,NA,country
Denmark,1996,1A2F,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2F,Oil,11.272632400530531,NA,country
Denmark,1996,1A2G,Coal,11.272632400530531,NA,country
Denmark,1996,1A2G,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2G,Oil,11.272632400530531,NA,country
Denmark,1996,1A2H,Coal,11.272632400530531,NA,country
Denmark,1996,1A2H,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2H,Oil,11.272632400530531,NA,country
Denmark,1996,1A2I,Coal,11.272632400530531,NA,country
Denmark,1996,1A2I,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2I,Oil,11.272632400530531,NA,country
Denmark,1996,1A2J,Coal,11.272632400530531,NA,country
Denmark,1996,1A2J,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2J,Oil,11.272632400530531,NA,country
Denmark,1996,1A2K,Coal,11.272632400530531,NA,country
Denmark,1996,1A2K,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2K,Oil,11.272632400530531,NA,country
Denmark,1996,1A2L,Coal,11.272632400530531,NA,country
Denmark,1996,1A2L,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2L,Oil,11.272632400530531,NA,country
Denmark,1996,1A2M,Coal,11.272632400530531,NA,country
Denmark,1996,1A2M,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A2M,Oil,11.272632400530531,NA,country
Denmark,1996,1A3B,Coal,22.545264801061062,NA,country
Denmark,1996,1A3B,Natural gas,22.545264801061062,NA,country
Denmark,1996,1A3B,Oil,22.545264801061062,NA,country
Denmark,1996,1A4A,Coal,22.545264801061062,NA,country
Denmark,1996,1A4A,Natural gas,22.545264801061062,NA,country
Denmark,1996,1A4A,Oil,22.545264801061062,NA,country
Denmark,1996,1A4B,Coal,22.545264801061062,NA,country
Denmark,1996,1A4B,Natural gas,22.545264801061062,NA,country
Denmark,1996,1A4B,Oil,22.545264801061062,NA,country
Denmark,1996,1A4C1,Coal,11.272632400530531,NA,country
Denmark,1996,1A4C1,Natural gas,11.272632400530531,NA,country
Denmark,1996,1A4C1,Oil,11.272632400530531,NA,country
Finland,1996,1A1B,Coal,9.001283589782092,NA,country
Finland,1996,1A1B,Natural gas,5.075277737917609,NA,country
Finland,1996,1A1B,Oil,9.257848593899398,NA,country
Finland,1996,1A1C,Coal,9.001283589782092,NA,country
Finland,1996,1A1C,Natural gas,5.075277737917609,NA,country
Finland,1996,1A1C,Oil,9.257848593899398,NA,country
Finland,1996,1A2A,Coal,9.001283589782092,NA,country
Finland,1996,1A2A,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2A,Oil,9.257848593899398,NA,country
Finland,1996,1A2B,Coal,9.001283589782092,NA,country
Finland,1996,1A2B,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2B,Oil,9.257848593899398,NA,country
Finland,1996,1A2C,Coal,9.001283589782092,NA,country
Finland,1996,1A2C,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2C,Oil,9.257848593899398,NA,country
Finland,1996,1A2D,Coal,9.001283589782092,NA,country
Finland,1996,1A2D,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2D,Oil,9.257848593899398,NA,country
Finland,1996,1A2E,Coal,9.001283589782092,NA,country
Finland,1996,1A2E,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2E,Oil,9.257848593899398,NA,country
Finland,1996,1A2F,Coal,9.001283589782092,NA,country
Finland,1996,1A2F,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2F,Oil,9.257848593899398,NA,country
Finland,1996,1A2G,Coal,9.001283589782092,NA,country
Finland,1996,1A2G,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2G,Oil,9.257848593899398,NA,country
Finland,1996,1A2H,Coal,9.001283589782092,NA,country
Finland,1996,1A2H,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2H,Oil,9.257848593899398,NA,country
Finland,1996,1A2I,Coal,9.001283589782092,NA,country
Finland,1996,1A2I,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2I,Oil,9.257848593899398,NA,country
Finland,1996,1A2J,Coal,9.001283589782092,NA,country
Finland,1996,1A2J,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2J,Oil,9.257848593899398,NA,country
Finland,1996,1A2K,Coal,9.001283589782092,NA,country
Finland,1996,1A2K,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2K,Oil,9.257848593899398,NA,country
Finland,1996,1A2L,Coal,9.001283589782092,NA,country
Finland,1996,1A2L,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2L,Oil,9.257848593899398,NA,country
Finland,1996,1A2M,Coal,9.001283589782092,NA,country
Finland,1996,1A2M,Natural gas,5.075277737917609,NA,country
Finland,1996,1A2M,Oil,9.257848593899398,NA,country
Finland,1996,1A3A2,Coal,9.001283589782092,NA,country
Finland,1996,1A3A2,Natural gas,5.075277737917609,NA,country
Finland,1996,1A3A2,Oil,9.257848593899398,NA,country
Finland,1996,1A3B,Coal,9.001283589782092,NA,country
Finland,1996,1A3B,Natural gas,5.075277737917609,NA,country
Finland,1996,1A3B,Oil,9.257848593899398,NA,country
Finland,1996,1A4A,Coal,9.001283589782092,NA,country
Finland,1996,1A4A,Natural gas,5.075277737917609,NA,country
Finland,1996,1A4A,Oil,9.257848593899398,NA,country
Finland,1996,1A4B,Coal,9.001283589782092,NA,country
Finland,1996,1A4B,Natural gas,5.075277737917609,NA,country
Finland,1996,1A4B,Oil,9.257848593899398,NA,country
Finland,1996,1A4C1,Coal,9.001283589782092,NA,country
Finland,1996,1A4C1,Natural gas,5.075277737917609,NA,country
