jurisdiction,year,ipcc_code,Product,tax_rate_incl_ex_kusd,ets_price_kusd,jurtype
Denmark,1998,1A1A1,Coal,21.663835427417126,NA,country
Denmark,1998,1A1A1,Natural gas,21.663835427417126,NA,country
Denmark,1998,1A1A1,Oil,21.663835427417126,NA,country
Denmark,1998,1A1A3,Coal,21.663835427417126,NA,country
Denmark,1998,1A1A3,Natural gas,21.663835427417126,NA,country
Denmark,1998,1A1A3,Oil,21.663835427417126,NA,country
Denmark,1998,1A1B,Coal,21.663835427417126,NA,country
Denmark,1998,1A1B,Natural gas,21.663835427417126,NA,country
Denmark,1998,1A1B,Oil,21.663835427417126,NA,country
Denmark,1998,1A1C,Coal,21.663835427417126,NA,country
Denmark,1998,1A1C,Natural gas,21.663835427417126,NA,country
Denmark,1998,1A1C,Oil,21.663835427417126,NA,country
Denmark,1998,1A2A,Coal,10.831917713708563,NA,country
Denmark,1998,1A2A,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2A,Oil,10.831917713708563,NA,country
Denmark,1998,1A2B,Coal,10.831917713708563,NA,country
Denmark,1998,1A2B,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2B,Oil,10.831917713708563,NA,country
Denmark,1998,1A2C,Coal,10.831917713708563,NA,country
Denmark,1998,1A2C,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2C,Oil,10.831917713708563,NA,country
Denmark,1998,1A2D,Coal,10.831917713708563,NA,country
Denmark,1998,1A2D,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2D,Oil,10.831917713708563,NA,country
Denmark,1998,1A2E,Coal,10.831917713708563,NA,country
Denmark,1998,1A2E,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2E,Oil,10.831917713708563,NA,country
Denmark,1998,1A2F,Coal,10.831917713708563,NA,country
Denmark,1998,1A2F,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2F,Oil,10.831917713708563,NA,country
Denmark,1998,1A2G,Coal,10.831917713708563,NA,country
Denmark,1998,1A2G,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2G,Oil,10.831917713708563,NA,country
Denmark,1998,1A2H,Coal,10.831917713708563,NA,country
Denmark,1998,1A2H,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2H,Oil,10.831917713708563,NA,country
Denmark,1998,1A2I,Coal,10.831917713708563,NA,country
Denmark,1998,1A2I,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2I,Oil,10.831917713708563,NA,country
Denmark,1998,1A2J,Coal,10.831917713708563,NA,country
Denmark,1998,1A2J,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2J,Oil,10.831917713708563,NA,country
Denmark,1998,1A2K,Coal,10.831917713708563,NA,country
Denmark,1998,1A2K,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2K,Oil,10.831917713708563,NA,country
Denmark,1998,1A2L,Coal,10.831917713708563,NA,country
Denmark,1998,1A2L,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2L,Oil,10.831917713708563,NA,country
Denmark,1998,1A2M,Coal,10.831917713708563,NA,country
Denmark,1998,1A2M,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A2M,Oil,10.831917713708563,NA,country
Denmark,1998,1A3B,Coal,21.663835427417126,NA,country
Denmark,1998,1A3B,Natural gas,21.663835427417126,NA,country
Denmark,1998,1A3B,Oil,21.663835427417126,NA,country
Denmark,1998,1A4A,Coal,21.663835427417126,NA,country
Denmark,1998,1A4A,Natural gas,21.663835427417126,NA,country
Denmark,1998,1A4A,Oil,21.663835427417126,NA,country
Denmark,1998,1A4B,Coal,21.663835427417126,NA,country
Denmark,1998,1A4B,Natural gas,21.663835427417126,NA,country
Denmark,1998,1A4B,Oil,21.663835427417126,NA,country
Denmark,1998,1A4C1,Coal,10.831917713708563,NA,country
Denmark,1998,1A4C1,Natural gas,10.831917713708563,NA,country
Denmark,1998,1A4C1,Oil,10.831917713708563,NA,country
Finland,1998,1A1B,Coal,21.7232168883259,NA,country
Finland,1998,1A1B,Natural gas,10.614385184263176,NA,country
Finland,1998,1A1B,Oil,20.87105039065054,NA,country
Finland,1998,1A1C,Coal,21.7232168883259,NA,country
Finland,1998,1A1C,Natural gas,10.614385184263176,NA,country
Finland,1998,1A1C,Oil,20.87105039065054,NA,country
Finland,1998,1A2A,Coal,21.7232168883259,NA,country
